FoodID,YieldID,YieldAmount,YieldDateofEntry,,,,
837,1643,28,2006-11-01,,,,
838,686,96,2014-09-22,,,,
839,682,67,2006-10-31,,,,
839,686,64,2014-09-22,,,,
840,682,67,2006-11-01,,,,
840,686,73,2014-09-24,,,,
842,686,57,2014-09-22,,,,
842,1644,67,2006-11-01,,,,
843,686,63,2014-09-22,,,,
843,1644,74,2006-11-01,,,,
845,686,116,2014-09-23,,,,
845,1642,46,2006-11-01,,,,
846,686,37,2014-09-23,,,,
846,1642,53,2006-11-01,,,,
848,1643,46,2006-11-01,,,,
849,686,33,1997-05-01,,,,
849,1643,49,2006-11-01,,,,
851,682,71,2006-10-31,,,,
852,682,78,2006-11-01,,,,
852,686,45,2014-09-24,,,,
854,1644,67,2006-11-01,,,,
855,686,36,2014-09-24,,,,
855,1644,74,2006-11-01,,,,
923,985,133,2004-08-12,,,,
924,985,138,2015-03-17,,,,
928,985,133,2004-08-11,,,,
929,985,130,2014-12-01,,,,
930,985,133,2015-03-20,,,,
931,985,134,2014-12-01,,,,
933,985,136,2015-03-20,,,,
934,985,133,2004-08-12,,,,
936,985,134,2015-03-20,,,,
938,985,136,2014-12-02,,,,
940,985,130,2004-08-12,,,,
944,985,132,2014-12-01,,,,
947,985,130,2004-08-12,,,,
948,985,133,2004-08-12,,,,
949,985,133,2004-08-12,,,,
950,985,130,2004-08-12,,,,
951,985,133,2004-08-12,,,,
953,985,133,2004-08-12,,,,
954,985,130,2004-08-12,,,,
957,985,136,2004-08-12,,,,
964,985,136,2014-12-02,,,,
965,455,6,2004-08-12,,,,
965,985,15,2004-08-12,,,,
966,455,12,2004-08-11,,,,
966,985,30,2004-08-11,,,,
967,985,8,2004-08-12,,,,
968,455,2,2004-08-11,,,,
968,985,5,2004-08-11,,,,
969,455,6,2004-08-12,,,,
969,985,15,2004-08-12,,,,
970,455,8,2004-08-12,,,,
970,985,20,2004-08-12,,,,
971,455,7,2004-08-12,,,,
971,985,18,2004-08-12,,,,
972,455,3,2004-08-12,,,,
972,985,8,2004-08-12,,,,
973,455,3,2004-08-12,,,,
973,985,7,2004-08-12,,,,
974,455,10,2004-08-12,,,,
974,985,25,2004-08-12,,,,
975,455,7,2004-08-12,,,,
975,985,17,2004-08-12,,,,
976,455,6,2004-08-12,,,,
976,985,15,2004-08-12,,,,
979,455,5,2004-08-12,,,,
979,985,14,2004-08-12,,,,
980,455,7,2004-08-12,,,,
980,985,18,2004-08-12,,,,
981,455,7,2004-08-11,,,,
981,985,18,2004-08-11,,,,
982,985,17,2004-08-12,,,,
983,455,7,2004-08-12,,,,
983,985,18,2004-08-12,,,,
984,985,36,2004-08-11,,,,
985,455,10,2004-08-12,,,,
985,985,24,2004-08-12,,,,
986,455,8,2004-08-11,,,,
986,985,20,2004-08-11,,,,
987,455,7,2004-08-12,,,,
987,985,18,2004-08-12,,,,
988,455,10,2004-08-12,,,,
988,985,25,2004-08-12,,,,
994,455,24,2004-08-12,,,,
994,921,29,2004-08-12,,,,
994,985,59,2004-08-12,,,,
1000,455,4,2004-08-12,,,,
1000,1390,2,2004-08-12,,,,
1002,455,9,2004-08-12,,,,
1002,1390,6,2004-08-12,,,,
1004,455,10,2004-08-12,,,,
1004,1390,6,2004-08-12,,,,
1006,455,9,2008-03-10,,,,
1006,1390,5,2004-08-12,,,,
1007,455,10,2004-08-12,,,,
1007,1390,6,2004-08-12,,,,
1008,455,9,2004-08-12,,,,
1008,1390,5,2004-08-12,,,,
1010,455,10,2004-08-12,,,,
1010,1390,6,2004-08-12,,,,
1011,455,10,2004-08-12,,,,
1011,1390,6,2004-08-12,,,,
1012,985,16,2004-08-12,,,,
1116,985,139,2004-08-12,,,,
1118,985,142,2004-08-12,,,,
1119,985,133,2004-08-12,,,,
1120,455,4,2004-08-12,,,,
1120,985,10,2004-08-12,,,,
1121,985,139,2014-12-02,,,,
1175,681,84,2014-11-03,,,,
1182,683,1,2014-11-03,,,,
1199,683,86,2014-07-22,,,,
1224,1582,44,2004-08-12,,,,
1228,1582,40,2004-08-11,,,,
1397,1582,44,2004-08-12,,,,
1399,1582,44,2004-08-12,,,,
1401,1582,47,2004-08-12,,,,
1403,1582,45,2004-08-12,,,,
1413,1582,28,2009-05-22,,,,
1415,1582,33,2009-05-22,,,,
1419,1582,42,2009-05-22,,,,
1421,1582,43,2009-05-22,,,,
1423,1582,43,2009-05-22,,,,
1431,1582,23,2004-08-12,,,,
1435,1582,33,2009-05-22,,,,
1437,1582,30,2009-05-22,,,,
1439,1582,30,2009-05-22,,,,
1443,1582,25,2004-08-12,,,,
1462,1582,27,2004-08-12,,,,
1464,1582,30,2009-05-22,,,,
1466,1582,35,2007-09-28,,,,
1470,1582,35,2007-09-28,,,,
1496,921,37,2004-08-12,,,,
1496,985,74,2004-08-12,,,,
1571,921,36,2004-08-12,,,,
1571,985,73,2004-08-12,,,,
1572,460,196,1997-05-01,,,,
1589,1044,47,2003-04-29,,,,
1589,1045,6,2003-04-29,,,,
1594,1044,38,2003-04-29,,,,
1594,1045,5,2003-04-29,,,,
1619,461,86,2013-12-20,,,,
1658,921,38,2004-08-12,,,,
1658,985,76,2004-08-12,,,,
1691,1045,128,2015-07-20,,,,
1719,921,38,2004-08-12,,,,
1719,985,76,2004-08-12,,,,
1724,921,38,2004-08-12,,,,
1724,985,75,2004-08-12,,,,
1753,921,37,2004-08-12,,,,
1753,985,74,2004-08-12,,,,
1762,683,67,2003-12-16,,,,
1764,683,46,1997-05-01,,,,
1766,683,56,1997-05-01,,,,
1768,683,50,1997-05-01,,,,
1770,683,53,1997-05-01,,,,
1772,683,44,1997-05-01,,,,
1774,683,58,1997-05-01,,,,
1775,683,56,1997-05-01,,,,
1776,683,59,1997-05-01,,,,
1778,683,53,1997-05-01,,,,
1779,683,52,1997-05-01,,,,
1780,683,54,1997-05-01,,,,
1782,683,55,1997-05-01,,,,
1783,683,54,1997-05-01,,,,
1784,683,56,1997-05-01,,,,
1786,683,49,1997-05-01,,,,
1787,683,49,1997-05-01,,,,
1788,683,51,1997-05-01,,,,
1790,683,50,1997-05-01,,,,
1791,683,49,1997-05-01,,,,
1792,683,49,1997-05-01,,,,
1794,683,44,1997-05-01,,,,
1795,683,44,1997-05-01,,,,
1796,683,45,1997-05-01,,,,
1798,683,53,1997-05-01,,,,
1799,683,50,1997-05-01,,,,
1800,683,51,1997-05-01,,,,
1802,683,48,1997-05-01,,,,
1803,683,44,1997-05-01,,,,
1804,683,46,1997-05-01,,,,
1808,683,67,1997-05-01,,,,
1812,683,62,1997-05-01,,,,
1814,683,56,1997-05-01,,,,
1816,683,47,1997-05-01,,,,
1818,683,56,1997-05-01,,,,
1819,683,54,1997-05-01,,,,
1821,683,44,1997-05-01,,,,
1822,683,42,1997-05-01,,,,
1823,683,76,1997-05-01,,,,
1824,683,47,1997-05-01,,,,
1825,683,56,1997-05-01,,,,
1826,683,58,2003-05-16,,,,
1827,683,66,1997-05-01,,,,
1828,683,41,1997-05-01,,,,
1829,683,49,1997-05-01,,,,
1830,683,52,1997-05-01,,,,
1833,683,84,1997-05-01,,,,
1835,683,38,1997-05-01,,,,
1837,683,93,1997-05-01,,,,
1842,683,57,1997-05-01,,,,
1845,683,78,1997-05-01,,,,
1847,683,66,1997-05-01,,,,
1850,683,54,1997-05-01,,,,
1852,683,66,1997-05-01,,,,
1855,683,51,1997-05-01,,,,
1861,681,85,1997-05-01,,,,
1865,681,83,1997-05-01,,,,
1869,675,60,1997-05-01,,,,
1869,683,91,1997-05-01,,,,
1876,681,63,1997-05-01,,,,
1877,681,56,1997-05-01,,,,
1878,681,41,1997-05-01,,,,
1881,683,61,1997-05-01,,,,
1882,683,46,1997-05-01,,,,
1883,683,42,1997-05-01,,,,
1884,683,52,1997-05-01,,,,
1885,683,48,1997-05-01,,,,
1888,681,86,1997-05-01,,,,
1894,683,40,2006-08-29,,,,
1896,683,72,1997-05-01,,,,
1897,683,71,1997-05-01,,,,
1898,683,66,1997-05-01,,,,
1899,683,70,1997-05-01,,,,
1901,683,64,1997-05-01,,,,
1902,683,63,1997-05-01,,,,
1903,683,58,1997-05-01,,,,
1904,683,62,1997-05-01,,,,
1906,683,52,1997-05-01,,,,
1907,683,53,1997-05-01,,,,
1909,683,44,1997-05-01,,,,
1910,683,43,1997-05-01,,,,
1912,683,73,1997-05-01,,,,
1913,683,65,1997-05-01,,,,
1914,683,69,1997-05-01,,,,
1916,683,71,1997-05-01,,,,
1917,683,63,1997-05-01,,,,
1918,683,68,1997-05-01,,,,
1932,683,77,2006-07-21,,,,
1934,683,47,2006-08-29,,,,
1938,683,89,1997-05-01,,,,
1941,681,93,1997-05-01,,,,
1944,683,79,2006-07-21,,,,
1961,683,67,1997-05-01,,,,
1962,683,65,1997-05-01,,,,
1964,683,72,2006-06-28,,,,
1966,683,69,2006-06-28,,,,
1968,683,78,2006-06-29,,,,
1970,683,69,2006-06-30,,,,
1971,683,69,1997-05-01,,,,
1972,683,87,2006-08-28,,,,
1974,683,69,2006-08-28,,,,
2068,458,1,2003-06-03,,,,
2071,458,1,2003-06-03,,,,
2173,921,12,2004-08-12,,,,
2173,1584,13,2010-08-16,,,,
2175,921,19,2004-08-12,,,,
2175,1584,20,2010-08-16,,,,
2177,921,28,2004-08-12,,,,
2177,1584,30,2010-08-16,,,,
2393,458,1,2003-07-08,,,,
2426,921,24,2004-08-13,,,,
2426,1584,24,2004-08-13,,,,
2428,921,28,2004-08-13,,,,
2428,1584,28,2004-08-13,,,,
2429,645,822,1997-05-01,,,,
2429,921,25,2010-08-16,,,,
2566,457,2,1997-05-01,,,,
2590,1327,30,2003-08-07,,,,
2651,683,78,1997-05-01,,,,
2652,683,87,1997-05-01,,,,
2654,683,57,1997-05-01,,,,
2655,683,43,1997-05-01,,,,
2656,683,74,1997-05-01,,,,
2657,683,65,1997-05-01,,,,
2659,683,67,1997-05-01,,,,
2662,683,49,1997-05-01,,,,
2664,683,68,1997-05-01,,,,
2667,683,84,1997-05-01,,,,
2669,683,57,1997-05-01,,,,
2685,683,59,1997-05-01,,,,
2687,683,65,2001-03-19,,,,
2689,683,65,1997-05-01,,,,
2692,683,58,1997-05-01,,,,
2694,683,65,2001-03-19,,,,
2696,683,61,2001-03-01,,,,
2698,683,56,1997-05-01,,,,
2700,683,60,2001-03-19,,,,
2702,683,56,2001-03-19,,,,
2704,683,69,1997-05-01,,,,
2712,683,69,1997-05-01,,,,
2713,683,58,1997-05-01,,,,
2790,681,70,1997-05-01,,,,
2828,683,71,2002-09-19,,,,
2841,1588,17,2004-08-17,,,,
2866,1591,28,2004-08-17,,,,
2869,1591,25,2004-08-17,,,,
2874,1591,2,2004-08-17,,,,
2876,1591,2,2004-08-17,,,,
2878,1591,2,2004-08-17,,,,
2880,1591,13,2008-06-24,,,,
2881,1591,13,2008-06-24,,,,
2882,1591,13,2008-06-24,,,,
2883,1591,3,2004-08-18,,,,
2888,921,37,2004-08-12,,,,
2888,985,74,2004-08-18,,,,
2892,921,39,2004-08-12,,,,
2892,985,77,2004-08-18,,,,
2894,985,77,2004-08-18,,,,
2896,985,22,2011-05-05,,,,
2898,985,22,2004-08-18,,,,
2900,985,22,2011-05-05,,,,
2902,985,22,2004-08-18,,,,
2907,985,34,2004-08-18,,,,
2910,1591,1,2004-08-18,,,,
2912,1591,1,2004-08-18,,,,
2914,1591,17,2004-08-18,,,,
2921,921,37,2004-08-12,,,,
2921,985,74,2004-08-18,,,,
2939,921,38,2004-08-12,,,,
2939,985,77,2004-08-18,,,,
2953,1591,14,2004-08-18,,,,
2957,985,26,2004-08-18,,,,
2962,985,2,2004-08-18,,,,
2964,985,31,2004-08-18,,,,
2973,921,37,2004-08-12,,,,
2973,985,75,2004-08-18,,,,
2975,921,38,2004-08-12,,,,
2975,985,77,2004-08-18,,,,
2980,985,26,2004-08-18,,,,
2982,985,29,2004-08-18,,,,
2992,684,78,1997-05-01,,,,
2994,684,55,2002-08-06,,,,
3001,684,91,2002-08-06,,,,
3005,684,78,1997-05-01,,,,
3007,684,78,1997-05-01,,,,
3010,684,78,1997-05-01,,,,
3012,684,78,1997-05-01,,,,
3015,684,77,1997-05-01,,,,
3022,684,79,1997-05-01,,,,
3027,684,78,1997-05-01,,,,
3030,684,78,1997-05-01,,,,
3032,684,78,1997-05-01,,,,
3035,684,77,1997-05-01,,,,
3037,684,78,1997-05-01,,,,
3040,684,78,1997-05-01,,,,
3042,684,79,1997-05-01,,,,
3044,684,78,1997-05-01,,,,
3053,684,78,1997-05-01,,,,
3057,684,78,1997-05-01,,,,
3063,684,78,1997-05-01,,,,
3067,684,78,1997-05-01,,,,
3076,683,78,1997-05-01,,,,
3078,684,78,1997-05-01,,,,
3090,684,78,1997-05-01,,,,
3094,671,134,2004-01-12,,,,
3103,642,3,1997-05-01,,,,
3109,502522,68,2014-02-10,,,,
3120,683,48,1997-05-01,,,,
3134,684,78,1997-05-01,,,,
3135,684,78,1997-05-01,,,,
3136,684,78,1997-05-01,,,,
3137,684,78,1997-05-01,,,,
3138,684,78,1997-05-01,,,,
3139,684,93,1997-05-01,,,,
3140,684,78,1997-05-01,,,,
3141,684,78,1997-05-01,,,,
3142,684,78,1997-05-01,,,,
3143,684,78,1997-05-01,,,,
3144,684,78,1997-05-01,,,,
3145,684,78,1997-05-01,,,,
3146,684,78,1997-05-01,,,,
3147,684,78,1997-05-01,,,,
3148,684,78,1997-05-01,,,,
3151,684,78,1997-05-01,,,,
3152,684,78,1997-05-01,,,,
3153,684,78,1997-05-01,,,,
3155,684,78,1997-05-01,,,,
3156,684,78,1997-05-01,,,,
3157,684,78,1997-05-01,,,,
3158,684,78,1997-05-01,,,,
3159,684,78,1997-05-01,,,,
3160,684,78,1997-05-01,,,,
3161,684,78,1997-05-01,,,,
3162,684,78,1997-05-01,,,,
3163,684,78,1997-05-01,,,,
3164,684,78,1997-05-01,,,,
3165,684,77,1997-05-01,,,,
3166,684,113,2002-08-06,,,,
3168,684,78,1997-05-01,,,,
3169,684,78,1997-05-01,,,,
3170,684,78,1997-05-01,,,,
3171,684,78,2002-08-06,,,,
