MeasureID,MeasureDescription,MeasureDescriptionF,,
65,1 cookie (8.9 cm x 2.5 cm x 1.3 cm),"1 biscuit (8,9 cm x 2,5 cm x 1,3 cm)",,
66,1 cookie (8.9-10.2 cm dia),"1 biscuit (8,9-10,2 cm dia)",,
70,1 crab (150 g),1 crabe (150 g),,
71,1 crab (700 g),1 crabe (700 g),,
72,1 cracker,1 craquelin,,
73,1 crayfish,1 écrevisse,,
74,1 cream puff (8.9 cm dia),"1 chou (8,9 cm dia)",,
75,1 croissant,1 croissant,,
76,1 crust (23 cm dia),1 croûte (23 cm dia),,
77,1 cube (10.5g),"1 cube (10,5 g)",,
79,"1 doughnut (10,2 cm dia)","1 beigne (10,2 cm dia)",,
80,"1 doughnut (11.4 cm x 8.9 cm, oval)","1 beigne (11,4 cm x 8,9 cm, ovale)",,
81,1 doughnut (7.6 cm dia),"1 beigne (7,6 cm dia)",,
82,1 doughnut (8.9 cm dia),"1 beigne (8,9 cm dia)",,
83,"1 doughnut (8.9 cm x 6.3 cm, oval)","1 beigne (8.9cm x 6.3 cm, ovale",,
84,1 doughnut (9.5cm dia),1 beigne (9.5cm dia),,
85,1 drink box (250ml),1 boîte (250ml),,
86,1 drumstick,1 pilon,,
88,1 ear,1 épi,,
89,1 eclair (12.7cm x 5cm x 4.4cm),1 éclair (12.7cm x 5cm x 4.4cm),,
90,1 egg,1 oeuf,,
91,1 egg (60ml),1 oeuf (60ml),,
92,1 eggplant peeled,1 aubergine pelée,,
93,1 enchilada,1 enchilada,,
94,1 enchirito,1 enchirito,,
95,1 envelope,1 enveloppe,,
96,1 envelope (8 per 127g),1 enveloppe (8 per 127g),,
97,1 fillet,1 filet,,
98,1 fillet (11 cm x 5 cm x 0.6 cm),1 filet (11 cm x 5 cm x 0.6 cm),,
99,1 fish (1100g),1 poisson (1100g),,
100,1 fish (1300g),1 poisson (1300g),,
101,1 fish (1800g),1 poisson (1800g),,
102,1 fish (2200g),1 poisson (2200g),,
103,1 fish (225g),1 poisson (225g),,
105,1 fish (350g),1 poisson (350g),,
106,1 fish (700g),1 poisson (700g),,
107,1 fish (900g),1 poisson (900g),,
108,1 fritter,1 beignet,,
110,1 fruit,1 fruit,,
112,1 fruit (14 cm dia),1 fruit (14 cm dia),,
113,1 fruit (14.6 cm x 7.3 cm x 6 cm),1 fruit (14.6 cm x 7.3 cm x 6 cm),,
115,1 fruit (5 cm dia),1 fruit (5 cm dia),,
117,1 fruit (6.4 cm dia),1 fruit (6.4 cm dia),,
118,1 fruit (6.4 cm x 7.6 cm dia),1 fruit (6.4 cm x 7.6 cm dia),,
119,1 fruit (6.7 cm dia),1 fruit (6.7 cm dia),,
120,1 fruit (6.8 cm dia),1 fruit (6.8 cm dia),,
122,1 fruit (7.3 cm dia),1 fruit (7.3 cm dia),,
123,1 fruit (8.3 cm x 7.3 cm dia),1 fruit (8.3 cm x 7.3 cm dia),,
124,1 fruit (8.5 cm x 7.6 cm dia),1 fruit (8.5 cm x 7.6 cm dia),,
128,1 gizzard,1 gésier,,
129,1 gourd,1 gourde,,
130,1 gourd (33.7 cm x 4.4 cm dia),1 gourde (33.7 cm x 4.4 cm dia),,
131,1 head,1 tête,,
134,1 heart,1 coeur,,
135,1 hotdog,1 hot-dog,,
136,1 hushpuppy (5.7 cm x 3.2 cm),1 galette hush puppy (5.7 cm x 3.2 cm),,
137,1 ice cube,1 glaçon,,
138,1 kidney,1 rognon,,
139,1 large,1 gros,,
140,1 large (30-40),1 gros (30-40),,
141,1 large clam,1 grosse mye,,
142,1 large egg,1 gros oeuf,,
143,1 large fruit,1 gros fruit,,
144,1 large fruit (6 cm dia),1 gros fruit (6 cm dia),,
145,1 large link,1 grosse saucisse en chapelet,,
146,1 large patty,1 grosse boulette,,
148,1 leaf,1 feuille,,
149,1 leek,1 poireau,,
150,1 leg,1 cuisse,,
152,1 link,1 saucisson,,
155,1 liver,1 foie,,
158,1 loaf (23 cm x 12.7 cm x 7.6 cm),1 pain (23 cm x 12.7 cm x 7.6 cm),,
159,1 lobster (700g),1 homard (700g),,
160,1 medium,1 moyen,,
161,1 medium fruit (5.4 cm dia),1 fruit moyen (5.4 cm dia),,
162,1 medium patty,1 moyenne boulette,,
163,1 medium slice,1 moyenne tranche,,
164,1 muffin,1 muffin,,
167,1 muffin (5.1 cm x 7 cm dia),1 muffin (5.1 cm x 7 cm dia),,
171,1 mushroom,1 champignon,,
172,1 neck,1 cou,,
174,1 package,1 paquet,,
175,1 pancake (15.2 cm dia),1 crêpe (15.2 cm dia),,
176,1 pancake (8 cm dia),1 crêpe (8 cm dia),,
177,1 parsnip (16.5 cm x 2.5 cm dia),1 panais (16.5 cm x 2.5 cm dia),,
178,1 pastry,1 pâtisserie,,
180,1 pastry (16.5 cm x 1.9 cm),1 pâtisserie (16.5 cm x 1.9 cm),,
181,1 pastry (7.5 cm dia),1 pâtisserie (7.5 cm dia),,
183,1 patty,1 boulette,,
184,1 patty (5.7 cm dia),1 boulette (5.7 cm dia),,
185,1 pepper,1 piment,,
186,1 pepper (9.5 cm x 7.6 cm dia),1 poivron (9.5 cm x 7.6 cm dia),,
190,1 pickle,1 cornichon,,
191,1 pie,1 tarte,,
192,1 pie (12.7 cm x 9.5 cm),1 tourte (12.7 cm x 9.5 cm),,
193,1 pie (20 cm dia),1 tarte (20 cm dia),,
194,1 pie (23 cm dia),1 tarte (23 cm dia),,
195,"1 pie, ready to serve",1 chausson,,
196,1 piece,1 morceau,,
197,1 piece (10 cm x 5 cm x 1.3 cm),1 morceau (10 cm x 5 cm x 1.3 cm),,
199,1 piece (11 cm x 5 cm x 2 cm),1 morceau (11 cm x 5 cm x 2 cm),,
200,1 piece (11 cm x 6 cm x 2 cm),1 morceau (11 cm x 6 cm x 2 cm),,
201,1 piece (12 cm x 5 cm x 2 cm),1 morceau (12 cm 5 cm x 2 cm),,
202,1 piece (14 cm x 4 cm x 1 cm),1 morceau (14 cm x 4 cm x 1 cm),,
205,1 piece (4.5 cm x 4 cm x 4 cm),1 morceau (4.5 cm x 4 cm x 4 cm),,
206,1 piece (5 cm x 3 cm x 1.2 cm),1 morceau (5 cm x 3 cm x 1.2 cm),,
207,1 piece (6 cm x 4 cm x 4 cm),1 morceau (6 cm x 4 cm x 4 cm),,
208,1 piece (6.3 cm x 5 cm dia),1 morceau (6.3 cm x 5 cm dia),,
210,1 pita (16.5 cm dia),1 pita (16.5 cm dia),,
211,1 pizza (12'' ),1 pizza (12''),,
212,1 pop,1 pop,,
213,1 pop (75ml),1 pop (75ml),,
216,1 potato,1 pomme de terre,,
217,1 potato (12cm x 6cm dia),1 pomme de terre (12cm x 6cm dia),,
218,1 potato (6.3cm dia),1 pomme de terre (6.3cm dia),,
219,1 pouch,1 sachet,,
220,1 portion (pouch) prepared,1 sachet préparé,,
221,1 pretzel,1 bretzel,,
222,1 pudding cup,1 coupe de pouding,,
223,1 radish (18cm x 6cm dia),1 radis (18cm x 6cm dia),,
224,1 rectangle,1 rectangle,,
227,1 roll,1 pain mollet,,
228,1 roll (6.3cm dia),1 pain mollet (6.3cm dia),,
229,1 roll (8.9cm dia),1 pain mollet  (8.9cm dia),,
230,1 root,1 racine,,
231,1 round,1 rond,,
232,1 saltine cracker,1 craquelin salé,,
233,1 sandwich,1 sandwich,,
234,1 sardine (12cm long),1 sardine (12cm longe),,
235,1 sardine (7.5cm long),1 sardine (7.5cm longe),,
236,1 sheet,1 feuille de pâte,,
237,"1 sheet (42cm x 30.5cm, thin)","1 feuille (42cm x 30.5cm, mince)",,
238,1 shell (12.7cm dia),1 coquille (12.7cm dia),,
242,1 shell (9cm dia),1 coquille (9cm dia),,
243,1 shoot,1 pousse,,
244,1 shoot (39cm x 2.9cm dia),1 pousse (39cm x 2.9cm dia),,
245,1 slice,1 tranche,,
247,1 slice (0.3cm x 10cm dia),1 tranche (0.3cm x 10cm dia),,
248,1 slice (0.3cm x 10.5cm dia),1 tranche (0.3cm x 10.5cm dia),,
251,1 slice (0.6cm),1 tranche (0.6cm),,
252,1 slice (1.3cm x 8.3cm dia),1 tranche (1.3cm x 8.3cm dia),,
253,1 slice (10cm x 10cm x 0.2cm),1 tranche (10cm x 10cm x 0.2cm),,
254,1 slice (10.8cm x 7.6cm x 1.9cm),1 tranche (10.8cm 7.6cm x 1.9cm),,
256,1 slice (11 per 175g package),1 tranche (11 par 175g paquet),,
260,1 slice (12.7cm x 10.2cm x 1.9cm),1 tranche (12.7cm x 10.2cm x 1.9cm),,
263,1 slice (12.7cm x 9.5cm x 1.3cm),1 tranche (12.7cm x 9.5cm x 1.3cm),,
264,1 slice (13cm x 12cm x 0.2cm),1 tranche (13cm x 12cm x 0.2cm),,
266,1 slice (16cm x 10cm x 0.2cm),1 tranche (16cm x 10cm x 0.2cm),,
267,1 slice (17 per 375g package),1 tranche (17 par 375g paquet),,
269,1 slice (2cm x 9cm dia),1 tranche (2cm x 9cm dia),,
271,1 slice (6 per 175g package),1 tranche (6 par 175g paquet),,
273,1 slice (8 per 175g package),1 tranche (8 par 175g paquet),,
274,1 small box,1 petite bôite,,
276,1 smelt,1 éperlan,,
277,1 snack cake,1 gâteau collation,,
278,1 spear,1 tige et fleur,,
279,1 square,1 carré,,
280,1 square (17.8cm x 17.8cm),1 carré (17.8cm x 17.8cm),,
281,1 squid,1 calmar,,
283,1 stem,1 queue,,
284,1 stick,1 bâtonnet,,
285,1 stick (19.4cm x 1.6cm dia),1 bâtonnet (19.4cm x 1.6cm dia),,
286,1 strip (21.5cm. long),1 tranche (21.5cm longueur),,
287,1 strudel,1 strudel,,
289,1 sundae,1 coupe glacée,,
290,1 super colossal,1 super colossale,,
292,1 sweet roll (7cm x 7cm),1 brioche (7cm x 7cm),,
293,1 medium (12.7cm x 5.1cm dia),1 moyen (12.7cm x 5.1cm  dia),,
294,1 tablet,1 comprimé,,
296,1 thick wiener,1 grosse saucisse hot dog,,
297,1 thigh,1 haut de cuisse,,
298,1 toast,1 biscotte,,
299,1 tomato,1 tomate,,
301,2 tostadas,2 tostadas,,
302,1 triple,1 craquelin triple,,
304,1 waffle (10.2cm dia),1 gaufre (10.2cm dia),,
305,1 waffle (17.8cm dia),1 gaufre (17.8cm dia),,
306,1 wiener,1 saucisse hot dog,,
307,1 wing,1 aile,,
309,1 oz whiskey,1 once whiskey,,
310,1.5 oz whiskey,1.5 once whiskey,,
311,1/10 cake (300g),1/10 gâteau (300g),,
312,1/10 fruit (20cm x 5cm dia),1/10 fruit (20cm x 5cm dia),,
313,1/12 cake (23cm dia),1/12 gâteau (23cm dia),,
314,1/12 cake (454g),1/12 gâteau (454g),,
315,1/2 back,1/2 dos,,
316,1/2 bird,1/2 volaille,,
318,1/2 foot,1/2 pied,,
319,1/2 fruit (13cm dia),1/2 fruit (13cm dia),,
320,1/2 fruit (9.5cm dia),1/2 fruit (9.5cm dia),,
322,1/4 small fruit,1/4 petit fruit,,
323,1/5 head,1/5 tête,,
324,1/6 (17.8cm dia),1/6 (17.8cm dia),,
325,1/6 cake (20cm dia),1/6 gâteau (20cm dia),,
326,1/6 cake (482g),1/6 gâteau (482g),,
327,1/6 pie (20cm dia),1/6 tarte (20cm dia),,
328,1/8 pie (23cm dia),1/8 tarte (23cm dia),,
329,1/8 ring (425g),1/8 rondelle (425g),,
331,1/9 cake (567g),1/9 gâteau (567g),,
332,10 chips,10  croustilles,,
333,10 fruits,10 fruits,,
334,10 halves,10 moities,,
336,10 pieces,10 morceaux,,
337,10 rings,10 rondelles,,
338,10 slices (0.6cm x 6.3cm dia),10 tranches (0.6cm x 6.3cm dia),,
339,10 strips,10 frites,,
340,10 twists,10 torsades,,
341,100ml,100ml,,
342,100ml chips,100ml brisures,,
343,100ml chopped,100ml haché,,
344,100ml crumbled,100ml émietté,,
345,100ml crumbs,100ml miettes,,
346,100ml crushed,100ml écrasé,,
347,100ml cubes,100ml en cubes,,
348,100ml diced,100ml en dés,,
349,100ml drained,100ml égoutté,,
350,100ml elbows,100ml coudes,,
351,100ml flaked,100ml flocons,,
352,100ml giblets,100ml abattis,,
353,100ml grated,100ml râpé,,
354,100ml halves,100ml moitiés,,
355,100ml large curd,100ml gros caillé,,
357,100ml mashed,100ml en purée,,
358,100ml melted,100ml fondu,,
359,100ml mini,100ml mini,,
360,100ml nuts,100ml noix,,
361,100ml nuts (40),100ml noix (40),,
362,100ml packed,100ml pressés,,
363,100ml pieces,100ml morceaux,,
364,100ml pitted,100ml dénoyauté,,
365,100ml poured,100ml versé,,
366,100ml pulp,100ml pulpe,,
367,100ml puree,100ml purée,,
368,100ml shredded,100ml filamenté,,
369,"100ml shredded, packed","100ml filamenté, pressé",,
370,100ml sifted,100ml tamisé,,
371,100ml slices,100ml tranches,,
374,100ml stirred,100ml mélangé,,
376,100ml unpacked,100ml non pressé,,
377,100ml unsifted,100ml non tamisé,,
378,100ml whipped,100ml fouetté,,
379,100ml whole,100ml entier,,
383,125ml,125ml,,
384,15 kernels,15 graines,,
385,15ml,15ml,,
386,15ml bits,15ml miettes,,
387,15ml chopped,15ml haché,,
388,150ml,150ml,,
389,175ml,175ml,,
394,2 biscuits,2 biscuits,,
395,2 burritos,2 burritos,,
398,2 heaping teaspoons,2 cuillères à thé comble,,
399,2 muffets,2 muffets,,
400,2 per package,2 par paquet,,
402,2 pieces,2 morceaux,,
403,2 slices,2 tranches,,
404,2 small,2 petits,,
405,2 tablespoons,2 cuillères à table,,
408,2oz cocktail,cocktail 2oz,,
410,2.5oz cocktail,2.5 oz cocktail,,
411,20 medium nuts,20  noix moyennes,,
412,20 pieces,20 morceaux,,
413,200ml,200ml,,
414,225ml,225ml,,
415,250ml,250ml,,
418,250ml water + powder,250ml eau + poudre,,
428,30ml,30ml,,
429,300ml,300ml,,
431,4 spears,4 tiges et fleurs,,
434,4.5oz cocktail,cocktail 4.5oz,,
435,5 hushpuppies,5 hush puppies,,
436,5 leaves,5 feuilles,,
437,5 slices,5 tranches,,
438,5 sticks,5 bâtonnets,,
439,5ml,5ml,,
440,5ml chopped,5ml haché,,
443,6 medium,6 moyennes,,
444,6 oysters,6 huîtres,,
445,6 pieces,6 morceaux,,
446,6 scallops,6 pétoncles,,
447,15-20 nachos,15-20 nachos,,
451,8 crayfish,8 écrevisses,,
452,8-14 seeds,8-14 graines,,
453,8-9 rings,8-9 rondelles,,
454,dough for 1,pâte pour 1,,
456,1 (0.8cm x 7.6cm dia) + liquid,1 (0.8cm x 7.6cm dia) + liquide,,
471,1 bottle (341ml),1 bouteille (341ml),,
473,1 bean,1 fève,,
474,1 bird,1 oiseau,,
477,1 breast,1 poitrine,,
478,1 cherry,1 cerise,,
479,1 cherry tomato,1 tomate cerise,,
480,1 chip,1 croustille,,
481,1 clam,1 mye,,
482,1 clove,1 gousse,,
484,1 container (355ml),1 contenant (355ml),,
486,1 cookie (1.9cm x 4.4cm dia),1 biscuit (1.9cm x 4.4cm dia),,
488,1 cookie (4.4cm dia),1 biscuit (4.4cm dia),,
490,1 cookie (6.3cm x 1.9cm x 0.6cm),1 biscuit (6.3cm x 1.9cm x 0.6cm),,
491,1 cookie (6.3cm x 6.3cm),1 biscuit (6.3cm x 6.3cm),,
494,1 cube (5.9g),1 cube (5.9g),,
495,1 doughnut (8.3cm dia),1 beigne (8.3cm dia),,
496,1 eclair shell (12.7cm x 5cm x 4.5cm),1 coquille d'éclair (12.7cm x 5cm x 4.5cm),,
497,1 envelope (8 per 112g),1 enveloppe (8 par 112g),,
498,1 flower,1 fleur,,
499,1 floweret,1 fleurette (bouquet),,
500,1 fruit (5.7cm x 6.4cm dia),1 fruit (5.7cm x 6.4cm dia),,
501,1 fruit (7.6cm x  2.5cm dia),1 fruit (7.6cm x 2.5cm dia),,
503,1 green onion (15cm x 0.75cm dia),1 oignon vert (15cm x 0.75cm dia),,
504,1 jumbo,1 jumbo,,
505,1 leaf (25cm x 16cm),1 feuille (25cm x 16cm),,
506,1 link (10cm x 2.2cm dia),1 saucisse (10cm x 2.2cm dia),,
508,1 medium (11.4cm x 10.2cm x 4.4cm),1 moyen (11.4cm x 10.2cm x 4.4cm),,
509,1 medium fruit,1 fruit moyen,,
510,1 medium leaf,1 feuille moyenne,,
511,1 muffin (3.8cm x 6.3cm dia),1 muffin (3.8cm x 6.3cm dia),,
512,1 muffin (3.8cm x 6.4cm dia),1 muffin (3.8cm x 6.4cm dia),,
513,1 nutmeat (shelled nut),1 noix écalée (cerneau),,
514,1 onion (2.5cm dia),1 oignon (2.5cm dia),,
515,1 oyster,1 huître,,
516,1 oyster/soup cracker,1 mini craquelin,,
517,1 pad,1 feuille,,
518,1 pancake (10.2cm dia),1 crêpe (10.2cm dia),,
519,1 pancake (7cm dia),1 crêpe (7cm dia),,
520,1 pastry (10.8cm dia),1 pâtisserie (10.8cm dia),,
521,1 petiole,1 pétiole,,
522,1 piece (10cm x 2.5cm x 1.3cm),1 morceau (10cm x 2.5cm x 1.3cm),,
523,1 piece (2.54cm x 2.54cm),1 morceau (2.54cm x 2.54cm),,
524,1 piece (5cm x 2cm x 1cm),1 morceau (5cm x 2cm x 1cm),,
525,1 piece (5.7cm x 2cm x 4.5cm),1 morceau (5.7cm x 2cm x 4.5cm),,
526,1 piece (6.3cm x 6.3cm x 3.8cm),1 morceau (6.3cm x 6.3cm x 3.8cm),,
527,1 pita (10.2cm dia),1 pita (10.2cm dia),,
528,1 plant,1 plante,,
529,1 pod,1 cosse,,
530,1 pod (34cm x 0.6cm dia),1 cosse (34cm x 0.6cm dia),,
531,1 pod (39cm x 1.3cm dia),1 cosse (30cm x 1.3cm dia),,
532,1 pod (8cm x 2cm dia),1 cosse (8cm x 2cm dia),,
533,1 potato puff,1 morceau de p. de terre,,
535,1 regular,1 régulier,,
536,1 regular (20-25),1 régulier (20-25),,
537,1 sausage,1 saucisse,,
538,1 section,1 section,,
539,1 shell,1 coquille,,
540,1 shortcake,1 gâteau éponge,,
541,1 slice (0.2cm x 7cm dia),1 tranche (0.2cm x 7cm dia),,
542,1 slice (0.3cm x 12cm),1 tranche (0.3cm x 12cm),,
543,1 slice (0.3cm x 2.5cm dia),1 tranche  (0.3cm 2.5cm dia),,
544,1 slice (11.1cm x 6.3cm x 1.3cm),1 tranche (11.1cm x 6.3cm x 1.3cm),,
548,1 slice (12.7cm x 7.6cm x 1.3cm),1 tranche (12.7cm x 7.6cm x 1.3cm),,
553,1 small,1 petit,,
554,1 small burger,1 petit hambourgeois,,
555,1 small clam,1 petite mye,,
556,1 small egg,1 petit oeuf,,
558,1 small patty,1 petite boulette,,
559,1 snack size,1 mini-tablette,,
560,1 sprig,1 branche,,
561,1 sprout,1 chou,,
562,1 square 8.9cm x 8.9cm),1 carré (8.9cm x 8.9cm),,
563,1 stalk,1 tige,,
564,1 spear (12.7cm long),1 tige et fleur (12.7cm long),,
565,1 stick (23.5cm x 0.9cm dia),1 bâtonnet (23.5cm x 0.9cm dia),,
568,1 thick slice,1 tranche épaisse,,
569,1 thin square,1 carré mince,,
571,1 very small,1 très petit,,
572,1 waffle (10.2cm x 10.2cm),1 gauffre (10.2cm x 10.2cm),,
573,1 waffle (11.4cm x 11.4cm),1 gauffre (11.4cm x 11.4cm),,
574,1/10 cake (5cm x 20cm dia),1/10 gâteau (5cm x 20cm dia),,
575,"1/12 cake (2 layer, 20cm dia)","1/12 gâteau (2 etages, 20cm dia)",,
576,"1/12 cake (2 layer, 23cm dia)","1/12 gâteau (2 etages, 23cm dia)",,
577,1/12 cake (20cm dia),1/12 gâteau (20cm dia),,
578,1/12 cake (20cm x 20cm),1/12 gâteau (20cm x 20cm),,
580,1/12 cake (25.4cm dia tube),"1/12 gâteau (25.4cm dia, tube)",,
581,1/12 cake (340g),1/12 gâteau (340g),,
583,1/2 fillet,1/2 filet,,
584,1/2 fruit + 25ml liquid,1/2 fruit + 25ml liquide,,
588,1/4 pie (15.2cm dia),1/4 tarte (15.2cm dia),,
589,1/6 pie,1/6 gâteau,,
590,1/6 strudel,1/6 strudel,,
591,1/8 cake (20cm x 15cm),1/8 gâteau (20cm x 15cm),,
592,1/8 cake (23cm dia),1/8 gâteau (23cm dia),,
593,1/8 crust (23cm dia),1/8 croûte (23cm dia),,
594,1/8 pie (17.8cm dia),1/8 tarte (17.8cm dia),,
597,1/9 cake (20cm x 20cm),1/9 gâteau (20cm x 20cm),,
598,10 gumdrops,10 bonbons,,
599,10 large beans,10 gros bonbons,,
601,10 peas,10 pois,,
602,10 peppers,10 piments,,
604,10 radishes,10 radis,,
605,10 sprigs,10 branches,,
606,10 sprouts,10 graines germées,,
607,10 sticks,10 bâtonnets,,
608,100 almonds,100 amandes,,
609,100 kernels,100 graines / noix,,
610,100 seeds,100 graines,,
612,100ml ground,100ml broyées,,
613,100ml hearts,100ml coeurs,,
614,100ml hulled,100ml écalées,,
616,100ml not pitted,100ml avec noyau,,
617,100ml sections,100ml sections,,
618,"100ml shredded, not packed","100ml filamenté, non pressé",,
619,100ml small curd,100ml petit caillé,,
620,100ml spirals,100ml spirales,,
621,15 halves,15 moitiés,,
623,2 fruits + 30ml liquid,2 fruits + 30ml liquide,,
624,2 medium,2 moyennes,,
625,2 small rice cakes,2 petites galettes de riz,,
626,25 almonds,25 amandes,,
628,3 fruits,3 fruits,,
629,3 halves + 26ml liquid,3 moitiés + 26ml liquide,,
630,3 stalks,3 tiges,,
631,4 waterchestnuts (3.2-5.1cm dia),4 châtaignes (3.2-5.1cm dia),,
633,5 medium,5 moyennes,,
634,5 skins,5 croustilles,,
635,5 sprigs,5 branches,,
636,50 kernels,50 graines/noix,,
637,50 seeds,50 graines,,
638,50ml,50ml,,
639,6 small cups,6 petits,,
640,60ml,60ml,,
641,75ml,75ml,,
685,10 nuts,10 noix,,
693,1 bar (60g),1 barre (60g),,
696,1 envelope (13g),1 enveloppe (13g),,
697,1 envelope (14g),1 enveloppe (14g),,
700,1 bar (68g),1 barre (68g),,
701,1 bar (40g),1 barre (40g),,
702,1 candy roll,1 rouleau de bonbons,,
703,1 bunch,1 botte,,
704,10 slices,10 tranches,,
705,1 endive,1 endive,,
798,2 leaves,2 feuilles,,
799,1 cupcake,1 petit gâteau,,
801,1 packet (individual),1 paquet (individuel),,
859,1 large (20cm long),1 gros (20cm longueur),,
860,1 small (15cm long),1 petit (15cm longueur),,
861,1 small (10cm long),1 petit (10cm longueur),,
862,1 medium (11.5cm long),1 moyen (11.5cm longueur),,
863,1 large (13cm long),1 gros (13cm long),,
864,1/5 block,1/5 bloc,,
866,1 individual container,1 contenant individuel,,
867,1 serving,1 portion,,
878,1 unprepared portion,1 portion non preparée,,
897,1 shell (7.6cm dia),1 coquille (7.6cm dia),,
917,10-12 kernels,10-12 graines/noix,,
923,45ml,45ml,,
932,80ml,80ml,,
933,1 cutlet,1 escalope,,
934,1 collar,1 collet,,
935,1 lung,1 poumon,,
941,1 extra large egg,1 oeuf extra gros,,
942,1 medium egg,1 oeuf moyen,,
943,"250ml, crushed","250ml, écrasé",,
944,"100ml crushed, diced or chunks","100ml écrasé, en dés ou morceaux",,
949,"1 slice, small (5cm x 6.3cm x 4.4cm)","1 tranche, petite (5cm x 6.3cm x 4.4cm)",,
950,"1 slice, medium (10cm x 6.3cm x 4.4cm)","1 tranche, moyenne (10cm x 6.3cm x 4.4cm)",,
951,"1 slice, large (15cm x 6.3cm x 4.4cm)","1 tranche, grosse (15cm x 6.3cm x 4.4cm)",,
952,1 potato small (4.4cm-5.7cm dia),1 pomme de terre - petite (4.4cm-5.7cm dia),,
953,1 potato medium (5.7cm-8.3cm dia),1 pomme de terre - moyenne (5.7cm-8.3cm dia),,
954,1 potato large (7.6cm-10.8cm dia),1 pomme de terre - grosse (7.6cm-10.8cm dia),,
955,15ml drained,15ml drainé,,
957,1 fruit + liquid,1 fruit + liquide,,
959,1/2 fruit + liquid,1/2 fruit + liquide,,
960,15 chestnuts,15 marrons,,
962,"5ml, ground","5ml, moulu",,
963,"15ml, ground","15ml, moulu",,
964,"5ml, leaves","5ml, feuilles",,
965,"15ml, leaves","15ml, feuilles",,
966,1 pat (2.54cm x 2.54cm x 0.85cm),1 carré (2.54cm x 2.54cm x 0.85cm),,
968,125ml diced,125ml en dés,,
969,125ml shredded,125ml filamenté,,
971,125ml slices,125ml tranches,,
972,125ml large curd,125ml gros caillé,,
973,125ml small curd,125ml petit caillé,,
974,125ml unpacked,125ml non pressé,,
975,250ml crumbled,250ml émietté,,
976,250ml diced,250ml en dés,,
977,250ml shredded,250ml filamenté,,
978,250ml melted,250ml fondu,,
979,250ml slices,250ml tranches,,
981,250ml large curd,250ml gros caillé,,
982,250ml small curd,250ml petit caillé,,
983,250ml unpacked,250ml non pressé,,
987,175g,175g,,
988,"250ml, sifted","250ml, tamisé",,
989,"15ml, sifted","15ml, tamisé",,
990,50g,50g,,
991,"250ml, chopped","250ml, haché",,
992,1 jumbo egg,1 oeuf jumbo,,
994,"250ml, diced","250ml, en dés",,
