FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName
103,103,1,0,"Cheese, Mexican, queso asadero","Fromage mexicain, queso asadero",1995-01-01,,01166,
104,104,1,0,"Cheese, Mexican, queso chihuahua","Fromage Mexicain, queso chihuahua",1995-01-01,,01167,
105,105,1,0,"Cheese, cheddar or colby type, low fat (7% M.F.)","Fromage, type cheddar ou colby, faible en gras (7% M.G.)",1995-01-01,,01168,
106,106,1,0,"Cheese, cheddar or colby type, low sodium","Fromage, type cheddar ou colby, faible en sodium",1995-01-01,,01169,
107,107,1,1,"Cheese, cottage, (1% M.F.)","Fromage cottage, (1% M.G.)",1981-01-01,,01016,
108,108,1,1,"Cheese, feta",Fromage féta,1981-01-01,,01019,
109,109,1,0,"Cheese, gouda",Fromage gouda,1981-01-01,,01022,
110,110,1,1,"Cheese, mozzarella, (52% water, 22.5% M.F.)","Fromage mozzarella, (52% eau, 22.5% M.G.)",1981-01-01,,01026,
111,111,1,1,"Cheese, mozzarella, partially skim, (52% water, 16.5% M.F.)","Fromage mozzarella, partiellement écrémé, (52% eau, 16.5% M.G.)",1981-01-01,,01028,
112,112,1,1,"Milk, evaporated, skim, canned, undiluted, 0.2% M.F.","Lait, concentré, écrémé, conserve, non dilué, 0.2% M.G.",1981-01-01,,01097,
113,113,1,0,"Milk, fluid, whole, pasteurized, homogenized, 3.25% M.F.","Lait, liquide, entier, homogénéisé, pasteurisé, 3.25% M.G.",1981-01-01,,01077,
114,114,1,0,"Milk, fluid, skim","Lait, liquide, écrémé",1981-01-01,,01085,
115,115,1,1,"Milk, dry, skim, powder, instant","Lait, poudre, écrémé, instant",1981-01-01,,01092,
116,116,14,1,"Hot chocolate, cocoa, homemade, prepared with whole milk","Chocolat chaud, cacao, fait maison, préparé avec lait entier",1981-01-01,,,
117,117,1,3,"Egg substitute, frozen (yolk replaced)","Oeuf, succédané, congelé (jaune remplacé)",1981-01-01,,01142,
118,118,1,3,"Butter, regular","Beurre, salé",1981-01-01,,01001,
119,119,1,3,"Cheese, cheddar",Fromage cheddar,1981-01-01,,01009,
120,120,1,3,"Cheese, cottage, (2% M.F.)","Fromage cottage, (2% M.G.)",1981-01-01,,01015,
122,122,1,3,"Coffee whitener (non dairy), powdered","Colorant à café (non laitier), en poudre",1981-01-01,,01069,
123,123,1,0,"Milk, fluid, whole, producer, 3.7% M.F.","Lait, liquide, entier, agriculteur, 3.7% M.G.",1990-01-01,,01078,
124,124,1,0,"Milk, fluid, buttermilk, cultured, 1% M.F.","Babeurre, liquide, culture, 1% M.G.",1981-01-01,,01088,
125,125,1,24,"Egg, chicken, whole, fresh or frozen, raw","Oeuf, poule, entier, frais ou congelé, cru",1989-01-01,1999-02-01,01123,
126,126,1,23,"Egg, chicken, white, fresh or frozen, raw","Oeuf, poule, blanc, frais ou congelé, cru",1989-01-01,1999-02-01,01124,
127,127,1,23,"Egg, chicken, yolk, fresh or frozen, raw","Oeuf, poule, jaune, frais ou congelé, cru",1989-01-01,1999-02-01,01125,
129,129,1,4,"Egg, chicken, whole, cooked, fried","Oeuf, poule, entier, cuit, frit",1989-01-01,,01128,
130,130,1,36,"Egg, chicken, whole, cooked, boiled in shell, hard-cooked","Oeuf, poule, entier, cuit, bouilli à la coque, dur",1990-01-01,,01129,
132,132,1,4,"Egg, chicken, whole, cooked, poached","Oeuf, poule, entier, cuit, poché",1989-01-01,,01131,
133,133,1,36,"Egg, chicken, whole, cooked, scrambled or omelet","Oeuf, poule, entier, cuit, brouillé ou omelette",1989-01-01,,01132,
134,134,1,1,"Milk, dry, skim, powder, regular","Lait, en poudre, écrémé",1981-01-01,,01154,
136,136,1,24,"Cream, table (coffee), 18% M.F.","Crème à café (crème de table), 18% M.G.",1985-01-01,,,
137,137,1,24,"Cream, whipping, 32% M.F.","Crème à fouetter, 32% M.G.",1985-01-01,,,
138,138,1,24,"Cream, whipping, 35% M.F.","Crème à fouetter, 35% M.G.",1985-01-01,,,
139,139,1,0,"Cream, sour, cultured, 14% M.F","Crème sure, de culture, 14% M.G.",1981-01-01,,01178,
140,140,1,1,"Milk, evaporated, whole, canned, undiluted, 7.8% M.F.","Lait, concentré, entier, conserve, non dilué, 7,8% M.G.",1981-01-01,,01096,
147,147,1,0,"Cheese, cottage, uncreamed, dry, large or small curd, nonfat","Fromage cottage sec, pressé, sans gras, gros et petit grain",1991-01-01,,01014,
150,150,1,24,"Cream, cereal (half and half), 10% M.F.","Crème à céréales (moitié-moitié), 10% M.G.",1985-01-01,,,
151,151,1,24,"Cream, table (coffee), 15% M.F.","Crème, à café (de table), 15% M.G.",1985-01-01,,,
152,152,1,26,"Cream, sour, cultured, 18% M.F.","Crème sure, de culture, 18% M.G.",1985-01-01,,,
153,153,1,26,"Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.","Lait, concentré, partiellemente écrémé, conserve, non dilué, 2% M.G.",1984-01-01,,,
160,160,1,26,"Cheese, calorie-reduced (6% M.F.)","Fromage, réduit en calories (6% M.G.)",1991-01-01,,,
163,163,1,24,"Cream, table (coffee), 20% M.F.",Crème de table (à café) 20% M.G.,1985-01-01,,,
164,164,19,0,"Dessert, frozen yogourt","Dessert, congelé, yogourt glacé",1990-01-01,,42187,
169,169,2,0,"Spices, allspice, ground","Épices, piments de la jamaïque, moulu",1981-01-01,,02001,Pimenta dioica
170,170,2,0,"Spices, anise seeds","Épices, anis, graines",1990-01-01,,02002,Pimpinella anisum
171,171,2,0,"Spices, basil, dried","Épices, basilic, déshydraté",1981-01-01,,02003,Ocimum basilicum
172,172,2,0,"Spices, bay leaf","Épices, laurier, feuilles",1981-01-01,,02004,Laurus nobilis
173,173,2,0,"Spices, caraway seed","Épices, carvi, graines",1993-01-01,,02005,Carum carvi
174,174,2,0,"Spices, cardamom, ground","Épices, cardamome, moulue",1981-01-01,,02006,Elettaria cardamomum
175,175,2,0,"Spices, celery seed","Épices, céleri, graines",1981-01-01,,02007,Apium graveolens
176,176,2,0,"Spices, chervil, dried","Épices, cerfeuil, déshydraté",1981-01-01,,02008,Anthriscus cerefolium
177,177,2,0,"Spices, chili powder","Épices, chili, poudre",1981-01-01,,02009,
178,178,2,0,"Spices, cinnamon, ground","Épices, cannelle, moulue",1981-01-01,,02010,Cinnamomum verum & Cinnamomum aromaticum
179,179,2,0,"Spices, cloves, ground","Épices, clou de girofle, moulu",1981-01-01,,02011,Syzyghum aromaticum
180,180,2,0,"Spices, coriander leaf (cilantro), dried","Épices, coriandre (cilantro), feuilles, déshydraté",1990-01-01,,02012,Coriandrum sativum
181,181,2,0,"Spices, coriander seed (cilantro)","Épices, coriandre (cilantro), graines",1981-01-01,,02013,Coriandrum sativum
182,182,2,0,"Spices, cumin seed","Épices, cumin, graines",1981-01-01,,02014,Cuminum cyminum
183,183,2,0,"Spices, curry powder","Épices, cari, poudre",1981-01-01,,02015,
184,184,2,0,"Spices, dill seed","Épices, aneth, graines",1981-01-01,,02016,Anethum graveolens
185,185,2,0,"Spices, dill weed, dried","Épices, aneth, déshydraté",1981-01-01,,02017,Anethum graveolens
186,186,2,0,"Spices, fennel seed","Épices, fenouil, graines",1981-01-01,,02018,Foeniculum vulgare
187,187,2,0,"Spices, fenugreek seed","Épices, fenugrec, graines",1981-01-01,,02019,Trigonella foenum-graecum
188,188,2,0,"Spices, garlic powder","Épices, ail, poudre",1981-01-01,,02020,Allium sativum
189,189,2,0,"Spices, ginger, ground","Épices, gingembre, moulu",1981-01-01,,02021,Zingiber officinale
190,190,2,0,"Spices, mace, ground","Épices, macis, moulu",1981-01-01,,02022,Myristica fragrans
191,191,2,0,"Spices, marjoram, dried","Épices, marjolaine, déshydratée",1981-01-01,,02023,Origanum majorana
192,192,2,0,"Spices, mustard seed, yellow","Épices, graines de moutarde, jaunes",1981-01-01,,02024,Sinapis alba and Brassica juncea
193,193,2,0,"Spices, nutmeg, ground","Épices, muscade, moulue",1981-01-01,,02025,Myristica fragrans
194,194,2,0,"Spices, onion powder","Épices, oignon, poudre",1981-01-01,,02026,Allium cepa
195,195,2,0,"Spices, oregano, ground","Épices, origan, moulu",1981-01-01,,02027,Origanum vulgare
196,196,2,0,"Spices, paprika","Épices, paprika",1981-01-01,,02028,Capsicum annuum
197,197,2,0,"Spices, parsley, dried","Épices, persil, déshydraté",1981-01-01,,02029,Petroselinum crispum
198,198,2,0,"Spices, pepper, black","Épices, poivre, noir",1981-01-01,,02030,Piper nigrum
199,199,2,0,"Spices, pepper, red or cayenne","Épices, piment rouge ou de cayenne",1981-01-01,,02031,Capsicum frutescens or Capsicum annuum
200,200,2,0,"spices, pepper, white","Épices, poivre, blanc",1981-01-01,,02032,Piper nigrum
201,201,2,0,"Spices, poppy seed","Épices, pavot, graines",1981-01-01,,02033,Papaver somniferum
202,202,2,0,"Spices, poultry seasoning","Épices, assaisonnement pour volaille",1981-01-01,,02034,
203,203,2,0,"Spices, pumpkin pie spice","Épices, assaisonnement pour tarte à la citrouille",1981-01-01,,02035,
204,204,2,0,"Spices, rosemary, dried","Épices, romarin, déshydraté",1981-01-01,,02036,Rosmarinus officinalis
205,205,2,0,"Spices, saffron","Épices, safran",1981-01-01,,02037,Crocus sativus
206,206,2,0,"Spices, sage, ground","Épices, sauge, moulue",1981-01-01,,02038,Salvia officinalis
207,207,2,0,"Spices, savory, ground","Épices, sarriette, moulue",1981-01-01,,02039,Satureja hortensis
209,209,2,0,"Spices, tarragon, dried","Épices, estragon, déshydraté",1981-01-01,,02041,Artemisia dracunculus
210,210,2,0,"Spices, thyme, dried","Épices, thym, déshydraté",1981-01-01,,02042,Thymus vulgaris
211,211,2,0,"Spices, turmeric, ground","Épices, curcuma, moulu",1981-01-01,,02043,Curcuma domestica (C longa)
212,212,2,0,"Basil, fresh","Basilic, frais",1993-01-01,,02044,Ocimum basilicum
213,213,2,0,"Spices, dill weed, fresh","Épices, aneth, frais",1993-01-01,,02045,Anethum graveolens
214,214,2,0,"Salt, table","Sel, table",1995-01-01,,02047,
215,215,2,0,"Spices, thyme, fresh","Épices, thym, frais",1995-01-01,,02049,Thymus vulgaris
216,216,2,0,Vanilla extract,"Vanille, extrait",1995-01-01,,02050,
217,217,2,0,"Vanilla extract, imitation, with alcohol","Vanille, extrait, imitation, avec alcool",1995-01-01,,02051,
218,218,2,0,"Vanilla extract, imitation, without alcohol","Vanille, extrait, imitation, sans alcool",1995-01-01,,02052,
219,219,20,20,"Grains, barley, malt extract, dried","Grains céréaliers, orge, malt, extrait, déshydraté",1981-01-01,,,
232,232,3,38,"Babyfood, snack, biscuit, mixed grain","Aliments pour bébé, grignotises, biscuit, mélange de grains",2015-01-08,,,
283,283,3,38,"Babyfood, cereal, barley, with milk powder, dry","Bébé, céréale, orge, avec poudre de lait, sèche",2015-01-08,,,
285,285,3,38,"Babyfood, cereal, mixed grain, dry","Bébé, céréale, mélange de grains, sèche",2015-01-08,,,
286,286,3,38,"Babyfood, cereal, mixed grain, prepared with formula or breast milk","Bébé, céréale, mélange de grains, préparée avec préparation pour nourrissons ou lait maternel",2015-01-08,,,
287,287,3,38,"Babyfood, cereal, mixed grain, with milk powder and fruit, dry","Bébé, céréale, mélange de grains, avec poudre de lait et fruits, sèche",2015-01-08,,,
291,291,3,38,"Babyfood, cereal, oat, dry","Bébé, céréale, avoine, sèche",2015-01-08,,,
293,293,3,38,"Babyfood, cereal, rice, with milk powder and fruit, dry","Bébé, céréale, riz, avec poudre de lait et fruits, sèche",2015-01-08,,,
394,394,3,38,"Babyfood, cereal, rice, dry","Bébé, céréale, riz, sèche",2015-01-08,,,
414,414,4,0,"Animal fat, beef tallow","Gras animal, suif de boeuf (gras de boeuf)",1981-01-01,,04001,
415,415,4,0,"Sandwich spread, with chopped pickle, regular, unspecified oil","Tartinade pour sandwich, avec cornichons hachés, ordinaire, huile non spécifiée",1981-01-01,,04030,
416,416,4,0,"Vegetable oil, rice bran","Huile végétale, son de riz",1981-01-01,,04037,
417,417,4,0,"Vegetable oil, wheat germ","Huile végétale, germe de blé",1981-01-01,,04038,
418,418,4,0,"Vegetable oil, peanut","Huile végétale, arachide",1981-01-01,,04042,
419,419,4,0,"Vegetable oil, soybean","Huile végétale, soya",1981-01-01,,04044,
420,420,4,0,"Vegetable oil, coconut","Huile végétale, noix de coco",1993-01-01,,04047,
422,422,4,0,"Vegetable oil, olive","Huile végétale, olive",1981-01-01,,04053,
423,423,4,0,"Vegetable oil, palm","Huile végétale, palme",1981-01-01,,04055,
424,424,4,0,"Vegetable oil, sesame","Huile végétale, sésame",1981-01-01,,04058,
426,426,4,0,"Salad dressing, french, homemade, unspecified oil","Vinaigrette, française, faite maison, huile non spécifiée",1981-01-01,,04133,
428,428,4,0,"Salad dressing, oil and vinegar, homemade","Vinaigrette, huile et vinaigre, faite maison",1981-01-01,,04135,
429,429,4,0,"Vegetable oil, cocoa butter","Huile végétale, beurre de cacao",1981-01-01,,04501,
430,430,4,0,"Vegetable oil, cottonseed","Huile végétale, graine de coton",1981-01-01,,04502,
432,432,4,0,"Vegetable oil, safflower, linoleic (70% and over)","Huile végétale, carthame, acide linoléique (70% et plus)",1981-01-01,,04510,
433,433,4,0,"Vegetable oil, safflower, oleic (70% and over)","Huile végétale, carthame, acide oléique (70% et plus)",1981-01-01,,04511,
434,434,4,0,"Vegetable oil, palm kernel","Huile végétale, palmiste",1993-01-01,,04513,
435,435,4,0,"Vegetable oil, poppyseed","Huile végétale, graines de pavot",1981-01-01,,04514,
436,436,4,0,"Vegetable oil, grapeseed","Huile végétale, pépins de raisin",1990-01-01,,04517,
437,437,4,0,"Vegetable oil, corn","Huile végétale, maïs",1981-01-01,,04518,
438,438,4,0,"Animal fat, mutton tallow","Gras animal, suif de mouton (gras de mouton)",1981-01-01,,04520,
439,439,4,0,"Vegetable oil, walnut","Huile végétale, noix",1981-01-01,,04528,
440,440,4,0,"Vegetable oil, almond","Huile végétale, amande",1981-01-01,,04529,
441,441,4,0,"Vegetable oil, apricot kernel","Huile végétale, noyaux d'abricots",1981-01-01,,04530,
442,442,4,0,"Vegetable oil, soybean lecithin","Huile végétale, lécithine de soya",1993-01-01,,04531,
443,443,4,0,"Vegetable oil, hazelnut","Huile végétale, noisette",1981-01-01,,04532,
444,444,4,0,"Vegetable oil, babassu","Huile végétale, babassu",1981-01-01,,04534,
445,445,4,0,"Animal fat, chicken","Gras animal, poulet",1981-01-01,,04542,
446,446,4,0,"Shortening, household, soybean (hydrogenated) and palm","Shortening, domestique, huile de soya (hydrogénée) et palme",1995-01-01,,04559,
447,447,4,0,"Animal fat, duck","Gras animal, canard",1981-01-01,,04574,
448,448,4,0,"Animal fat, turkey","Gras animal, dinde",1981-01-01,,04575,
449,449,4,0,"Animal fat, goose","Gras animal, oie",1981-01-01,,04576,
450,450,4,0,"Vegetable oil, avocado","Huile végétale, avocat",1989-01-01,,04581,
451,451,4,0,"Vegetable oil, canola","Huile végétale, canola (colza)",1989-01-01,,04582,
452,452,4,0,"Vegetable oil, mustard","Huile végétale, moutarde",1989-01-01,,04583,
453,453,4,0,"Vegetable oil, sunflower, oleic (70% and over)","Huile végétale, tournesol, acide oléique (70% et plus)",1990-01-01,,04584,
454,454,4,0,"Shortening, special purpose, cake and icing (frosting)","Shortening, usagé déterminé, gâteau et glaçage",1995-01-01,,04586,
455,455,4,0,"Shortening, special purpose, baking","Shortening, usage déterminé, cuisson",1995-01-01,,04587,
456,456,4,0,"Vegetable oil, oat","Huile végétale, avoine",1995-01-01,,04588,
457,457,4,0,"Fish oil, cod liver","Huile de poisson, foie de morue",1993-01-01,,04589,
458,458,4,0,"Fish oil, herring","Huile de poisson, hareng",1993-01-01,,04590,
459,459,4,0,"Fish oil, menhaden","Huile de poisson, menhaden",1993-01-01,,04591,
460,460,4,0,"Fish oil, menhaden, fully hydrogenated","Huile de poisson, menhaden, entièrement hydrogénée",1993-01-01,,04592,
461,461,4,0,"Fish oil, salmon","Huile de poisson, saumon",1993-01-01,,04593,
462,462,4,0,"Fish oil, sardine","Huile de poisson, sardine",1993-01-01,,04594,
463,463,4,0,"Shortening, multipurpose, hydrogenated soybean and palm","Shortening, tout usage, soya et palme hydrogéné",1993-01-01,,04595,
464,464,4,3,"Animal fat, lard (pork)","Gras animal, saindoux (porc)",1981-01-01,,04002,
523,523,4,23,"Shortening, industrial, for frying (liquid), soybean","Shortening, industriel, friture (liquide), soya",1983-01-01,,,
524,524,4,0,"Salad dressing, russian, commercial, regular","Vinaigrette, russe, commerciale, régulière",1981-01-01,,04015,
525,525,4,0,"Salad dressing, russian, commercial, low calorie","Vinaigrette, russe, commerciale, hypocalorique",1981-01-01,,04022,
526,526,4,0,"Salad dressing, thousand island, commercial, regular","Vinaigrette, mille îles, commerciale, régulière",1981-01-01,,04017,
527,527,4,0,"Salad dressing, mayonnaise type, commercial, regular","Vinaigrette, type mayonnaise, commerciale, régulière",1981-01-01,,04018,
528,528,4,0,"Salad dressing, french, commercial, low calorie","Vinaigrette, française, commerciale, hypocalorique",1981-01-01,,04020,
529,529,4,0,"Salad dressing, italian, commercial, low Calorie","Vinaigrette, italienne, commerciale, hypocalorique",1981-01-01,,04021,
530,530,4,0,"Salad dressing, thousand island, commercial, low calorie","Vinaigrette, commerciale, mille Îles, hypocalorique",1981-01-01,,04023,
531,531,4,0,"Salad dressing, mayonnaise, commercial, regular","Vinaigrette, mayonnaise, commerciale, régulière",1985-01-01,,04025,
532,532,4,0,"Salad dressing, italian, commercial, regular","Vinaigrette, italienne, commerciale, régulière",1981-01-01,,04114,
533,533,4,0,"Salad dressing, french, commercial, regular","Vinaigrette, française, commerciale, régulière",1981-01-01,,04120,
534,534,4,0,"Salad dressing, blue or roquefort cheese, commercial, regular","Vinaigrette, fromage bleu ou roquefort, commerciale, régulière",1981-01-01,,04539,
535,535,4,28,"Animal fat, native, seal oil","Gras animal,  autochtone, huile de phoque",1981-01-01,,,
539,539,4,23,"Shortening, household, unspecified vegetable and animal oils","Shortening, domestique, huiles végétales et animales non précisées",1991-01-01,,04615,
540,540,4,23,"Shortening, industrial, for frying (liquid), canola","Shortening, industriel, friture (liquide), canola",1981-01-01,,,
541,541,4,23,"Shortening, industrial, for frying (solid), canola","Shortening, industriel, friture (solide), canola",1981-01-01,,,
542,542,4,23,"Shortening, industrial, for frying (solid), soybean","Shortening, industriel, friture (solide), soya",1981-01-01,,,
543,543,4,23,"Shortening, industrial, for baking (cake), canola","Shortening, industriel, pour cuisson (gâteau), canola",1981-01-01,,,
