FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry
127,556,0.12810,2007-06-20
127,941,0.18250,2007-06-20
127,942,0.14020,2007-06-20
127,990,0.50000,2004-08-31
127,992,0.18560,2007-06-20
127,1610,0.68000,2006-11-29
127,1672,0.09690,2007-06-20
127,502452,0.25000,2010-01-06
129,142,0.46000,1997-05-01
129,556,0.35000,1997-05-01
129,990,0.50000,2004-08-31
129,1609,0.92000,2006-11-29
130,142,0.50000,1997-05-01
130,343,0.57481,1997-05-01
130,385,0.08615,2003-03-12
130,990,0.50000,2004-08-31
130,991,1.43703,2003-03-12
130,1609,1.00000,2006-11-29
132,142,0.50000,1997-05-01
132,556,0.38000,1997-05-01
132,990,0.50000,2004-08-31
132,1609,1.00000,2006-11-29
133,142,0.61000,1997-05-01
133,341,0.92984,2004-05-03
133,415,2.32459,2003-03-12
133,556,0.48000,1997-05-01
133,1482,1.10000,2004-07-07
133,1609,1.22000,2006-11-29
134,341,0.50719,1997-05-01
134,383,0.63398,2003-03-13
134,415,1.26796,2003-03-13
134,1574,0.25000,2004-07-07
136,341,1.01437,1999-06-03
136,383,1.26796,2004-07-07
136,385,0.15216,2004-02-03
136,415,2.53593,2003-03-13
136,998,0.11100,2003-03-13
137,341,1.01014,1999-06-16
137,378,0.50507,1997-05-01
137,385,0.15152,2004-02-03
137,999,1.26796,2003-03-13
137,1000,2.52536,2003-03-13
137,1467,0.15000,2004-07-07
138,341,1.00592,1999-06-16
138,378,0.50719,2003-03-13
138,385,0.15088,2004-02-03
138,999,1.26796,2003-03-13
138,1000,2.51479,2003-03-13
138,1467,0.15000,2004-07-07
139,341,0.97210,1999-06-03
139,383,1.21513,2004-07-07
139,385,0.14582,2004-02-03
139,415,2.43026,2003-03-13
139,428,0.29164,2004-09-02
140,341,1.06509,1999-06-03
140,383,1.33136,2003-11-26
140,385,0.15976,2004-02-13
140,415,2.66272,2003-11-26
147,376,0.95520,1999-06-16
147,383,1.19399,2004-07-07
147,983,1.53212,2003-03-13
147,1489,1.25000,2004-07-07
150,341,1.02282,1999-06-16
150,383,1.27852,2004-07-07
150,385,0.15342,2003-03-13
150,415,2.55706,2003-03-13
150,998,0.15000,2003-03-13
151,341,1.01437,1999-06-16
151,383,1.26796,2004-07-07
151,385,0.15215,2004-02-03
151,415,2.53593,2003-03-13
151,998,0.11100,2003-03-13
152,341,0.97210,1999-06-16
152,383,1.21513,2004-07-07
152,385,0.14582,2004-02-03
152,415,2.43026,2003-03-13
152,428,0.29164,2004-09-02
153,341,1.06509,2003-11-26
153,383,1.33136,2003-11-26
153,385,0.15976,2004-07-07
153,415,2.66272,2003-11-26
160,348,0.55790,1997-05-01
160,368,0.45647,1997-05-01
160,976,1.39475,2003-03-13
160,977,1.14118,2003-03-13
160,990,0.50000,2003-03-13
160,1454,0.30000,2004-02-13
163,341,1.01437,2002-09-19
163,383,1.26797,2009-12-01
163,385,0.15215,2004-02-03
163,415,2.53593,2003-03-13
163,998,0.11100,2003-03-13
164,341,0.73542,2004-05-03
164,383,0.91927,2004-07-07
164,415,1.83855,2004-05-03
164,987,1.75000,2003-03-12
169,385,0.06081,1999-05-26
169,439,0.01939,2003-03-14
169,1484,0.00500,2004-07-07
170,385,0.06791,1997-05-01
170,439,0.02143,1997-05-01
170,1484,0.00500,2004-07-07
171,962,0.01429,2003-03-06
171,963,0.04561,2003-03-06
171,964,0.00714,2003-03-06
171,965,0.02128,2004-02-11
171,1484,0.00500,2004-07-07
172,1001,0.00612,1997-05-01
172,1002,0.01824,1997-05-01
172,1484,0.00500,2005-02-10
173,385,0.06791,2003-03-14
173,439,0.02143,1997-05-01
173,1484,0.00500,2004-07-07
174,385,0.05878,1997-05-01
174,439,0.02041,1997-05-01
174,1484,0.00500,2004-07-07
175,385,0.06588,2003-03-14
175,439,0.02041,1997-05-01
175,1484,0.00500,2004-07-07
176,385,0.01926,2003-03-14
176,439,0.00612,1997-05-01
176,1484,0.00500,2004-07-07
177,385,0.07601,1997-05-01
177,439,0.02653,1997-05-01
177,1484,0.00500,2004-07-07
178,385,0.06892,1997-05-01
178,439,0.02347,1997-05-01
178,1484,0.00500,2004-07-07
179,341,0.43958,2014-04-28
179,385,0.06594,2014-04-28
179,439,0.02198,2014-04-28
179,1484,0.00500,2004-07-07
180,385,0.01824,1997-05-01
180,439,0.00612,1997-05-01
180,1484,0.00500,2004-07-07
181,385,0.05068,1997-05-01
181,439,0.01837,1997-05-01
181,1484,0.00500,2004-07-07
182,385,0.06081,1997-05-01
182,439,0.02143,1997-05-01
182,1484,0.00500,2004-07-07
183,385,0.06385,1997-05-01
183,439,0.02041,1997-05-01
183,1484,0.00500,2004-07-07
184,385,0.06689,1997-05-01
184,439,0.02143,1997-05-01
184,1484,0.00500,2004-07-07
185,385,0.03142,1997-05-01
185,439,0.01020,1997-05-01
185,1484,0.00500,2004-07-07
186,385,0.05878,1997-05-01
186,439,0.02041,1997-05-01
186,1484,0.00500,2004-07-07
187,385,0.11250,1997-05-01
187,439,0.03776,1997-05-01
187,1484,0.00500,2004-07-07
188,385,0.08514,1997-05-01
188,439,0.02857,1997-05-01
188,1484,0.00500,2004-07-07
189,385,0.05473,1997-05-01
189,439,0.01837,1997-05-01
189,1484,0.00500,2004-07-07
190,385,0.05372,1997-05-01
190,439,0.01735,1997-05-01
190,1484,0.00500,2004-07-08
191,385,0.01723,1997-05-01
191,439,0.00612,1997-05-01
191,1484,0.00500,2004-07-07
192,385,0.11351,1997-05-01
192,439,0.03367,1997-05-01
192,1484,0.00500,2004-07-07
193,385,0.07095,1997-05-01
193,439,0.02245,1997-05-01
193,1484,0.00500,2004-07-07
194,385,0.06993,2003-03-06
194,439,0.02449,2003-03-06
194,1484,0.00500,2004-07-07
195,385,0.04561,1997-05-01
195,439,0.01531,1997-05-01
195,1484,0.00500,2004-07-07
196,385,0.06993,1997-05-01
196,439,0.02143,1997-05-01
196,1484,0.00500,2004-07-07
197,385,0.01318,1997-05-01
197,439,0.00306,1997-05-01
197,1484,0.00500,2004-07-07
198,379,0.58835,2014-05-01
198,1005,0.00100,2014-05-01
198,1484,0.00500,2004-07-07
198,1641,0.06999,2014-05-01
198,502517,0.08825,2014-05-01
198,502598,0.02333,2014-05-01
198,502599,0.02942,2014-05-01
199,385,0.05372,1997-05-01
199,439,0.01837,1997-05-01
199,1484,0.00500,2004-07-07
200,385,0.07196,1997-05-01
200,439,0.02449,1997-05-01
200,1484,0.00500,2004-07-07
201,385,0.08919,1997-05-01
201,439,0.02857,1997-05-01
201,1484,0.00500,2004-07-07
202,385,0.03750,1997-05-01
202,439,0.01531,1997-05-01
202,1484,0.00500,2004-07-07
203,385,0.05676,1997-05-01
203,439,0.01735,1997-05-01
203,1484,0.00500,2004-07-07
204,385,0.03345,1997-05-01
204,439,0.01224,1997-05-01
204,1484,0.00500,2004-07-07
205,385,0.02128,1997-05-01
205,439,0.00714,1997-05-01
205,1484,0.00500,2004-07-07
206,385,0.02027,1997-05-01
206,439,0.00714,1997-05-01
206,1484,0.00500,2004-07-07
207,385,0.04459,1997-05-01
207,439,0.01429,1997-05-01
207,1484,0.00500,2004-07-07
209,962,0.01633,1997-05-01
209,963,0.04865,1997-05-01
209,964,0.00612,2003-03-06
209,965,0.01824,2003-03-06
209,1484,0.00500,2004-07-07
210,962,0.01429,1997-05-01
210,963,0.04358,1997-05-01
210,964,0.01020,2004-02-11
210,965,0.02737,2003-03-06
210,1484,0.00500,2004-07-07
211,385,0.06892,1997-05-01
211,439,0.02245,1997-05-01
211,1484,0.00500,2004-07-07
212,428,0.03043,2015-02-16
212,436,0.02500,1997-05-01
212,1484,0.00500,2004-07-07
213,635,0.01000,1997-05-01
213,1003,0.09404,2003-03-21
213,1004,0.03762,1997-05-01
213,1484,0.00500,2004-07-07
214,385,0.18243,1997-05-01
214,415,3.08538,2003-03-21
214,439,0.06122,1997-05-01
214,1005,0.00400,2003-03-21
214,1578,0.01000,2004-07-07
215,148,0.04000,1997-05-01
215,385,0.02449,2003-03-21
215,439,0.00816,1997-05-01
215,1484,0.00500,2004-07-07
216,341,0.87838,1999-06-22
216,385,0.13176,2003-03-21
216,415,2.19780,2003-03-21
216,439,0.04286,2003-03-21
217,341,0.87838,1999-06-22
217,385,0.13176,2003-03-21
217,415,2.19780,2003-03-21
217,439,0.04286,2003-03-21
218,341,0.87838,1999-06-22
218,385,0.13176,2003-03-21
218,415,2.19780,2003-03-21
218,439,0.04286,2003-03-21
219,867,0.20000,2004-08-27
219,1601,0.45000,2004-08-27
232,49,0.16810,2015-03-11
283,341,0.46700,2015-03-09
283,383,0.58380,2015-03-09
283,385,0.07000,2015-03-09
285,341,0.46150,2015-03-11
285,383,0.57680,2015-03-11
285,385,0.06900,2015-03-11
286,341,0.74640,2015-03-11
286,383,0.93300,2015-03-11
286,428,0.22390,2015-03-11
286,640,0.44780,2015-03-11
287,341,0.45500,2015-03-11
287,383,0.56870,2015-03-11
287,385,0.06800,2015-03-11
291,341,0.36120,2015-03-11
291,383,0.45150,2015-03-11
291,385,0.05400,2015-03-11
293,341,0.42910,2015-03-11
293,383,0.53640,2015-03-11
293,385,0.06440,2015-03-11
394,341,0.37250,2015-03-11
394,383,0.46560,2015-03-11
394,385,0.05590,2015-03-11
414,341,0.86644,1999-06-23
414,385,0.12973,2003-03-24
414,415,2.16610,2003-10-15
414,439,0.04324,2003-03-24
414,1573,0.10000,2004-07-08
415,341,1.03550,1999-06-03
415,385,0.15203,2003-03-24
415,415,2.58876,2003-03-24
415,428,0.30405,2003-03-24
416,341,0.92139,2003-03-24
416,385,0.13784,2003-03-24
416,415,2.30347,2003-03-24
416,439,0.04592,2003-03-24
416,1352,0.09214,2004-07-08
417,341,0.92139,2003-03-24
417,385,0.13784,2003-03-24
417,439,0.04592,2003-03-24
417,1352,0.09214,2004-07-08
418,341,0.91293,2003-03-24
418,385,0.13682,2003-03-24
418,415,2.28233,2003-03-24
418,439,0.04592,2003-03-24
418,1352,0.09129,2004-07-08
419,341,0.92139,2003-03-24
419,385,0.13784,2003-03-24
419,415,2.30347,2003-03-24
419,439,0.04592,2003-03-24
419,1352,0.09214,2004-07-08
420,341,0.92139,2003-03-24
420,385,0.13794,2003-03-24
420,415,2.30347,2003-03-24
420,439,0.04592,2003-03-24
420,1352,0.09214,2004-07-08
422,341,0.91293,2003-03-24
422,385,0.13682,2003-03-24
422,415,2.28233,2003-03-24
422,439,0.04592,2003-03-24
422,1352,0.09129,2004-07-08
423,341,0.91293,2003-03-24
423,385,0.13682,2003-03-24
423,415,2.28233,2003-03-24
423,439,0.04592,2003-03-24
423,1352,0.09129,2004-07-08
424,341,0.92139,2003-03-24
424,385,0.13784,2003-03-24
424,415,2.30347,2003-03-24
424,439,0.04592,2003-03-24
424,1352,0.09214,2004-07-08
426,341,0.92984,1999-06-03
426,385,0.14189,2003-03-24
426,415,2.32460,2003-03-24
426,428,0.28380,2006-12-06
426,1352,0.09298,2004-07-08
428,341,1.05664,1999-06-03
428,385,0.16216,2003-03-24
428,415,2.64159,2003-03-24
428,428,0.32432,2006-12-06
428,1352,0.10566,2006-12-05
429,341,0.92139,1999-06-03
429,385,0.13784,2003-03-24
429,415,2.30347,2003-03-24
429,439,0.04592,2003-03-24
429,1352,0.09214,2004-07-08
430,341,0.92139,1999-06-03
430,385,0.13784,2003-03-24
430,415,2.30347,2003-03-24
430,439,0.04592,2003-03-24
430,1352,0.09214,2004-07-08
432,341,0.92139,1999-06-03
432,385,0.13784,2003-03-24
432,415,2.30347,2003-03-24
432,439,0.04592,2003-03-24
432,1352,0.09214,2004-07-08
433,341,0.92139,1999-06-03
433,385,0.13784,2003-03-24
433,415,2.30347,2003-03-24
433,439,0.04592,2003-03-24
433,1352,0.09214,2004-07-08
434,341,0.92139,1999-06-03
434,385,0.13784,2003-03-24
434,415,2.30347,2003-03-24
434,439,0.04592,2003-03-24
434,1352,0.09214,2004-07-08
435,341,0.92139,1999-06-03
435,385,0.13784,2003-03-24
435,415,2.30347,2003-03-24
435,439,0.04592,2003-03-24
435,1352,0.09214,2004-07-08
436,341,0.92139,1999-06-03
436,385,0.13784,2003-03-24
436,415,2.30347,2003-03-24
436,439,0.04592,2003-03-24
436,1352,0.09214,2004-07-08
437,341,0.92140,2008-02-28
437,385,0.13784,2003-03-24
437,415,2.30347,2003-03-24
437,439,0.04592,2003-03-24
437,1352,0.09214,2004-07-08
438,341,0.86644,1999-06-24
438,385,0.12973,2003-03-24
438,415,2.16610,2003-03-24
438,439,0.04324,2003-03-24
438,1573,0.10000,2004-07-08
439,341,0.92139,1999-06-03
439,385,0.13784,2003-03-24
439,415,2.30347,2003-03-24
439,439,0.04592,2003-03-24
439,1352,0.09214,2004-07-08
440,341,0.92139,1999-06-03
440,385,0.13784,2003-03-24
440,415,2.30347,2003-03-24
440,439,0.04592,2003-03-24
440,1352,0.09214,2004-07-08
441,341,0.92139,1999-06-03
441,385,0.13784,2003-03-24
441,415,2.30347,2003-03-24
441,439,0.04592,2003-03-24
441,1352,0.09214,2004-07-08
442,341,0.92139,1999-06-03
442,385,0.13784,2003-03-24
442,415,2.30347,2003-03-24
442,439,0.04592,2003-03-24
